TIME,LASTNAME,HAS_PROPERTY,PROPERTY,IS_RENTING,RENTED_PROPERTY,PURCHASING_POWER,NET_MONTHLY_INCOME
0,Moreno,NO,,NO,,570.0,0.9
0,Vanegas,NO,,NO,,180.0,0.6
1,Moreno,YES,0,NO,,11.0,0.911
1,Vanegas,NO,,YES,1,180.0,0.37999999999999995
2,Moreno,YES,0,NO,,11.38123094930797,0.922
2,Vanegas,NO,,YES,1,186.2383246250395,0.5599999999999999
3,Moreno,YES,0,NO,,12.006408958361947,0.933381230949308
3,Vanegas,NO,,YES,1,196.46851022774095,0.7462383246250395
4,Moreno,YES,0,NO,,12.838629810175771,0.9453876399076699
4,Vanegas,NO,,YES,1,210.0866696210581,0.9427068348527804
5,Moreno,YES,0,NO,,13.871778688185946,0.9582262697178457
5,Vanegas,NO,,YES,1,226.9927421703155,1.1527935044738384
6,Moreno,YES,0,NO,,15.1145232291656,0.9720980484060316
6,Vanegas,NO,,YES,1,247.32856193180075,1.379786246644154
7,Moreno,YES,0,NO,,16.585098436653883,0.9872125716351973
7,Vanegas,NO,,YES,1,271.3925198725181,1.6271148085759548
8,Moreno,YES,0,NO,,18.309485569755253,1.0037976700718512
8,Vanegas,NO,,YES,1,299.6097638687223,1.8985073284484728
9,Moreno,YES,0,NO,,20.320988154367708,1.0221071556416064
9,Vanegas,NO,,YES,1,332.52526070783523,2.198117092317195
10,Moreno,YES,0,NO,,22.66052837432549,1.0424281437959741
10,Vanegas,NO,,YES,1,370.8086461253262,2.5306423530250304
11,Moreno,YES,0,NO,,25.377407067720913,1.0650886721702997
11,Vanegas,NO,,YES,1,415.2666611081604,2.9014509991503568
12,Moreno,YES,0,NO,,28.53043144656875,1.0904660792380205
12,Vanegas,NO,,YES,1,466.8616054893068,3.3167176602585173
13,Moreno,YES,0,NO,,32.189387036917594,1.1189965106845894
13,Vanegas,NO,,YES,1,526.7354242404697,3.783579265747824
14,Moreno,YES,0,NO,,36.436868926697585,1.151185897721507
14,Vanegas,NO,,YES,1,596.2396733459603,4.310314689988294
15,Moreno,YES,0,NO,,41.3705124379215,1.1876227666482047
15,Vanegas,NO,,YES,1,676.9720217114425,4.906554363334254
16,Moreno,YES,0,NO,,47.10568324885458,1.2289932790861262
16,Vanegas,NO,,YES,1,770.820271344893,5.583526385045697
17,Moreno,YES,0,NO,,53.778705766931594,1.2760989623349808
17,Vanegas,NO,,YES,1,880.0151852770622,6.3543466563905895
18,Moreno,YES,0,NO,,61.55072838317893,1.3298776681019124
18,Vanegas,NO,,YES,1,1007.1937371792912,7.234361841667652
19,Moreno,YES,0,NO,,70.61234657555484,1.3914283964850913
19,Vanegas,NO,,YES,1,1155.4747621454426,8.241555578846944
20,Moreno,YES,0,NO,,81.1891308529433,1.4620407430606461
20,Vanegas,NO,,YES,1,1328.5494139572538,9.397030340992387
21,Moreno,YES,0,NO,,93.54823738199573,1.5432298739135895
21,Vanegas,NO,,YES,1,1530.789338978112,10.72557975494964
22,Moreno,YES,0,NO,,108.00631604122525,1.6367781112955853
22,Vanegas,NO,,YES,1,1767.376080674595,12.256369093927752
23,Moreno,YES,0,NO,,124.93897500277913,1.7447844273368105
23,Vanegas,NO,,YES,1,2044.455954590931,14.023745174602347
24,Moreno,YES,0,NO,,144.79211440614554,1.8697234023395897
24,Vanegas,NO,,YES,1,2369.3255084641996,16.068201129193277
25,Moreno,YES,0,NO,,168.09550624082019,2.0145155167457354
25,Vanegas,NO,,YES,1,2750.653738486148,18.437526637657477
26,Moreno,YES,0,NO,,195.4790755878294,2.1826110229865554
26,Vanegas,NO,,YES,1,3198.748509619026,21.188180376143624
27,Moreno,YES,0,NO,,227.69243278057016,2.378090098574385
27,Vanegas,NO,,YES,1,3725.8761727729657,24.38692888576265
28,Moreno,YES,0,NO,,265.62832035277916,2.605782531354955
28,Vanegas,NO,,YES,1,4346.645242136386,28.112805058535617
29,Moreno,YES,0,NO,,310.3507771252904,2.8714108517077346
29,Vanegas,NO,,YES,1,5078.467262050206,32.459450300672
30,Moreno,YES,0,NO,,363.12898965305806,3.181761628833025
30,Vanegas,NO,,YES,1,5942.110739777313,37.53791756272221
31,Moreno,YES,0,NO,,425.4780048553691,3.5448906184860833
31,Vanegas,NO,,YES,1,6962.367352178766,43.48002830249952
32,Moreno,YES,0,NO,,499.2077247193115,3.9703686233414524
32,Vanegas,NO,,YES,1,8168.853677225097,50.442395654678286
33,Moreno,YES,0,NO,,586.481903930489,4.469576348060764
33,Vanegas,NO,,YES,1,9596.976609771638,58.61124933190338
34,Moreno,YES,0,NO,,689.8892356515993,5.056058251991253
34,Vanegas,NO,,YES,1,11289.096583389806,68.20822594167502
